R_comment_date,R_content_comment,R_reviewer_address,R_reviewer_contribution,R_reviewer_da,R_reviewer_dv,R_reviewer_gt,R_reviewer_helpfuvote,R_reviewer_name,R_reviewer_staydate,R_smart_device,R_title_comment,R_url,comment_rating_sum
" 8 tháng 4, 2018",Đã ghé và hài lòng về món ăn cũng như giá cả Ăn cả nhóm 12 người ăn no nê uống chục lon bia mà giá chưa đến 1tr Sẽ quay lại khi đến Huế,NA,NA,NA,NA,NA,NA,hoang k, tháng 4 năm 2018, di động,Món ăn ngon,https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,50
" 23 tháng 2, 2020","Chúng tôi muốn có một bữa ăn khá nhanh chóng và đơn giản trong đêm đầu tiên ở Huế, đến sau rất nhiều chuyến du lịch. Nơi này chỉ cách khách sạn vài phút và là một lựa chọn địa phương đơn giản nhưng nó thực sự đã làm được việc!
Nhân viên phục vụ của chúng tôi có đủ tiếng Anh để giúp giải thích cách đối phó với các đặc sản - một số công việc DIY cần thiết để kết hợp tất cả lại với nhau - nhưng sau đó tất cả đã biến mất.
Giá quá thấp, chúng tôi đã để lại một mẹo tốt và nhân viên phục vụ của chúng tôi rất vui, và chúng tôi cũng đề nghị bạn thử Tai Phu.","Plymouth, Vương quốc Anh",290,40,50,50,141,GRLUK, tháng 11 năm 2019,máy tính,Được giới thiệu bởi hướng dẫn của chúng tôi,https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,40
" 12 tháng 9, 2019","Thức ăn rẻ nhưng bạn có được những gì bạn phải trả cho. Chất lượng khủng khiếp, thịt bí ẩn chưa nấu chín - để nó sang một bên nhưng chúng tôi vẫn bị bệnh sau đó. Nhân viên rất không thân thiện, không cảm thấy được chào đón ở đó. Không thể đề nghị và sẽ không bao giờ quay trở lại","London, United Kingdom",27,10,10,20,55,NewGenie, tháng 9 năm 2019,máy tính,"Không, cám ơn",https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,10
" 13 tháng 4, 2019","Tôi đã phải chờ hơn 30 phút cho bữa ăn. Nhân viên không hoạt động trong dịch vụ và gần như quên đơn đặt hàng của chúng tôi. Họ nhìn tôi và bạn tôi bằng ánh mắt không thân thiện. Giá cả khá đắt so với chất lượng và số lượng thực phẩm. Tôi không nghĩ rằng tôi đã có một trải nghiệm tuyệt vời trong nhà hàng này. Vì vậy, tôi sẽ không bao giờ trở lại",NA,4,NA,NA,NA,3,Jasmine132893, tháng 4 năm 2019, di động,Dịch vụ khách hàng kém,https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,10
" 28 tháng 5, 2018","Thật vui khi ăn Nem Lui Hue ở đây: Xiên thịt lợn nướng bạn cuộn trong cuộn của riêng bạn. Dịch vụ thân thiện theo tiêu chuẩn thức ăn đường phố Việt Nam. Nó có lẽ chỉ dành cho mạo hiểm, mặc dù.","Houston, Texas",30,50,40,50,16,Fernando C, tháng 5 năm 2018,máy tính,Noluxury nhưng thực phẩm địa phương tuyệt vời.,https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,50
" 2 tháng 3, 2018",Cô hầu bàn cho chúng tôi thấy làm thế nào để chuẩn bị cuộn của chúng tôi. Thức ăn ngon. Rất nhiều người dân địa phương ăn ở đây cũng là một dấu hiệu tuyệt vời.,NA,1,NA,NA,NA,NA,Arash D, tháng 3 năm 2018, di động,Thưc ăn ngon. Và dịch vụ tốt đẹp,https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,50
" 1 tháng 1, 2018","Vợ tôi và ăn tối ở đây và ra lệnh cho Bahn Khoai (Bánh ngon) và nó có cả tôm chưa được đánh bóng với đầu và đuôi vẫn còn trên đó cùng với vỏ. Nó được phục vụ bên trong vỏ chiên giòn với một số mặt hàng khác bên trong và sau đó cắt thành các khu. Khi tôi nhấc lên một miếng đáy đĩa của tôi được phủ dầu mỡ. Nếu bạn không thích thức ăn vô cùng béo bở, đừng ăn ở đây.

Chúng tôi cũng đã có Heo nướng trên một món salad và mì. Thịt lợn đã rất cồng kềnh và boney.

Ăn ở nơi khác. Tôi sẽ không giới thiệu nhà hàng này cho bất cứ ai.","Los Angeles, California",29,NA,NA,NA,27,Rayman2012, tháng 1 năm 2018, di động,Rất nhờn,https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,10
" 17 tháng 7, 2017","Tôi đã ăn một bữa tối ngon lành không? (Nướng thịt lợn trên mì gạo với các loại thảo mộc tươi, lạc và nước sốt đậu phộng) tại Tai Phu. Bữa ăn của tôi thật tuyệt vời và rẻ tiền! Dịch vụ cũng rất nhanh. Nhà hàng này rất gần với ga Huế và sẽ là một lựa chọn tuyệt vời cho bất cứ ai tìm kiếm bữa ăn trước khi đi du lịch.

Lonely Planet đề xuất Tai Phu, nhưng nếu bạn đang tham khảo cuốn sách hướng dẫn thì nó bị viết sai chính tả là ""Thái Phú"". Nhân viên khách sạn của tôi đã sửa chữa nó và xác nhận rằng đó là một nơi nổi tiếng. Thưởng thức!","Brooklyn, New York",40,50,50,50,30,CJIntheMiddleSeat, tháng 7 năm 2017,máy tính,"Bữa ăn nhanh, ngon cho một mức giá tuyệt vời",https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,50
" 25 tháng 5, 2017","Rất nhiều thực phẩm, nó là tốt, tấm lớn nhưng tôi sẽ không nói nó là cực kỳ thú vị.
Nơi này đã được LonelyPlanet đề xuất và gần khách sạn của chúng tôi, vì vậy nó là ok nhưng tôi sẽ không vượt qua toàn bộ thành phố để đi.","Paris, Pháp",40,NA,NA,NA,14,extraopolis, tháng 5 năm 2017, di động,Không tệ nhưng không có gì đặc biệt,https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,30
" 22 tháng 5, 2017","Tôi đã đi theo đề nghị của người dân địa phương sau khi viếng thăm thành cổ. Đó là sau 1 giờ chiều nên nó yên tĩnh hơn. Tôi không biết phải đặt món gì và người phục vụ không nói tiếng Anh. Tôi chỉ vào nem lui rằng bảng tiếp theo đã có và nó là tuyệt vời. Thức ăn đường phố đơn giản. Bánh kếp là khác nhau ở đây từ những người ở Hà Nội hoặc Hội An. Việc điền bên trong là thịt lợn bụng, tôm và trứng chiên. Giòn và dầu. Cũng giống như thức ăn đường phố. Tôi thấy mì bún bò nướng. Nó có vẻ tốt nhưng tôi đã quá đầy đủ.","Singapore, Singapore",18,NA,NA,NA,6,try_bungee, tháng 5 năm 2017, di động,Được đề xuất bởi người dân địa phương,https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,50
" 7 tháng 5, 2017","Tôi đến đây ăn trưa và tận hưởng trải nghiệm. Đó là món ăn đường phố Huế với giá rẻ. Các nhân viên đã rất tốt đẹp và hữu ích. Họ bắt đầu bằng cách đặt chiếc xe đạp của tôi ở nơi an toàn. Menu có hình ảnh để giúp bạn quyết định những gì để có được và dễ dàng để cho họ biết. Tôi đã có Nem Lui không chỉ ngon mà còn rất vui khi ăn. 50, 000. Tôi khuyên bạn nên
Đó là tốt cho một vết cắn ở giữa đi về thị trấn và nhìn thấy các điểm tham quan.","Berkeley, California",39,NA,NA,NA,9,anjakeen, tháng 5 năm 2017, di động,"Thức ăn đường phố nhanh, ngon, giá rẻ",https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-or10-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,40
" 16 tháng 4, 2017","Có lẽ chúng tôi đã đến một thời điểm tồi tệ, nhưng vẫn còn. . .

Mì lạnh? Thịt heo chưa nấu chín? Nhân viên ngủ trên sàn mà chúng tôi đã phải chỉ để trả tiền hóa đơn của chúng tôi? Không có nhiều lựa chọn trong khu vực này nhưng bạn có thể ưu tiên và chỉ mua một số món ăn nhẹ từ một cửa hàng tạp hóa địa phương.","Beaverton, Oregon",64,NA,NA,NA,31,V5269JEchrisb, tháng 4 năm 2017, di động,Có thể là bữa ăn tồi tệ nhất tôi có ở Việt Nam,https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-or10-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,10
" 31 tháng 3, 2017","Nếu bạn muốn thức ăn đường phố Việt Nam ngon, ăn nhanh không ai nói tiếng Anh nhưng giá rẻ ""Bia"" và thịt lợn trên gậy, xà lách, mì và súp (Phở) vào giờ ăn trưa nơi này phục vụ thức ăn nhanh ""cửa hàng""",NA,NA,NA,NA,NA,NA,foxurs1, tháng 3 năm 2017, di động,Thức ăn đường phố tiêu biểu ở mức giá rất thấp,https://www.tripadvisor.com.vn/Restaurant_Review-g293926-d10178110-Reviews-or10-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,40
